C1 ACET CC331 -0.37 -0.27
C2 ACET CC2O3 0.62 0.96
H1 ACET HCA3 0.09 0.09
H2 ACET HCA3 0.09 0.09
H3 ACET HCA3 0.09 0.09
O1 ACET OC2D3 -0.76 -0.48
O2 ACET OC2D3 -0.76 -0.48
C2 PROA CC322 -0.28 -0.18
C1 PROA CC2O3 0.62 0.96
H21 PROA HCA2 0.09 0.09
H22 PROA HCA2 0.09 0.09
O1 PROA OC2D3 -0.76 -0.48
O2 PROA OC2D3 -0.76 -0.48
C3 PROA CC331 -0.27 -0.27
H31 PROA HCA3 0.09 0.09
H32 PROA HCA3 0.09 0.09
H33 PROA HCA3 0.09 0.09
HC1 MGUA HCA3 0.09 0.09
HC2 MGUA HCA3 0.09 0.09
HC3 MGUA HCA3 0.09 0.09
HA1 GLYN HCA2 0.05 0.09
HA2 GLYN HCA2 0.05 0.09
C GLYN CC2O3 0.75 0.96
OT1 GLYN OC2D3 -0.55 -0.48
OT2 GLYN OC311 -0.63 -0.9
HO2 GLYN HCP1 0.43 0.42
HE1 MAMM HCA3 0.05 0.09
HE2 MAMM HCA3 0.05 0.09
HE3 MAMM HCA3 0.05 0.09
HE1 EAMM HCA2 0.05 0.09
HE2 EAMM HCA2 0.05 0.09
C1 EAMM CC331 -0.27 -0.27
H11 EAMM HCA3 0.09 0.09
H12 EAMM HCA3 0.09 0.09
H13 EAMM HCA3 0.09 0.09
C2 ACEH CC331 -0.30 -0.27
C1 ACEH CC2O3 0.75 0.96
H21 ACEH HCA3 0.09 0.09
H22 ACEH HCA3 0.09 0.09
H23 ACEH HCA3 0.09 0.09
O2 ACEH OC2D3 -0.55 -0.48
O1 ACEH OC311 -0.60 -0.9
HO1 ACEH HCP1 0.43 0.42
CB MEOH CC331 -0.04 -0.04
OG MEOH OC311 -0.65 -0.65
HG1 MEOH HCP1 0.42 0.42
HB1 MEOH HCA3 0.09 0.09
HB2 MEOH HCA3 0.09 0.09
HB3 MEOH HCA3 0.09 0.09
HB1 METO HCA3 0.11 0.09
HB2 METO HCA3 0.11 0.09
HB3 METO HCA3 0.11 0.09
C1 ETOH CC322 0.05 0.05
O1 ETOH OC311 -0.65 -0.65
HO1 ETOH HCP1 0.42 0.42
H11 ETOH HCA2 0.09 0.09
H12 ETOH HCA2 0.09 0.09
C2 ETOH CC331 -0.27 -0.27
H21 ETOH HCA3 0.09 0.09
H22 ETOH HCA3 0.09 0.09
H23 ETOH HCA3 0.09 0.09
CA ETO CC331 -0.27 -0.27
HB1 ETO HCA2 0.11 0.09
HB2 ETO HCA2 0.11 0.09
HA1 ETO HCA3 0.09 0.09
HA2 ETO HCA3 0.09 0.09
HA3 ETO HCA3 0.09 0.09
C2 PRO2 CC312 0.14 0.14
O2 PRO2 OC311 -0.65 -0.65
HO2 PRO2 HCP1 0.42 0.42
H21 PRO2 HCA1 0.09 0.09
C1 PRO2 CC331 -0.27 -0.27
H11 PRO2 HCA3 0.09 0.09
H12 PRO2 HCA3 0.09 0.09
H13 PRO2 HCA3 0.09 0.09
C3 PRO2 CC331 -0.27 -0.27
H31 PRO2 HCA3 0.09 0.09
H32 PRO2 HCA3 0.09 0.09
H33 PRO2 HCA3 0.09 0.09
HA FORM HCR1 0.08 0.06
O FORM OC2D4 -0.51 -0.4
CC ACEM CC331 -0.27 -0.27
O ACEM OC2D3 -0.55 -0.48
HC1 ACEM HCA3 0.09 0.09
HC2 ACEM HCA3 0.09 0.09
HC3 ACEM HCA3 0.09 0.09
CC PRAM CC322 -0.18 -0.18
O PRAM OC2D3 -0.55 -0.48
HC1 PRAM HCA2 0.09 0.09
HC2 PRAM HCA2 0.09 0.09
C1 PRAM CC331 -0.27 -0.27
H11 PRAM HCA3 0.09 0.09
H12 PRAM HCA3 0.09 0.09
H13 PRAM HCA3 0.09 0.09
CL NMA CC331 -0.27 -0.27
HL1 NMA HCA3 0.09 0.09
HL2 NMA HCA3 0.09 0.09
HL3 NMA HCA3 0.09 0.09
O NMA OC2D3 -0.51 -0.48
HR1 NMA HCA3 0.09 0.09
HR2 NMA HCA3 0.09 0.09
HR3 NMA HCA3 0.09 0.09
CL ALAD CC331 -0.27 -0.27
HL1 ALAD HCA3 0.09 0.09
HL2 ALAD HCA3 0.09 0.09
HL3 ALAD HCA3 0.09 0.09
OL ALAD OC2D3 -0.51 -0.48
HA ALAD HCA1 0.09 0.09
CB ALAD CC331 -0.27 -0.27
HB1 ALAD HCA3 0.09 0.09
HB2 ALAD HCA3 0.09 0.09
HB3 ALAD HCA3 0.09 0.09
OR ALAD OC2D3 -0.51 -0.48
HR1 ALAD HCA3 0.09 0.09
HR2 ALAD HCA3 0.09 0.09
HR3 ALAD HCA3 0.09 0.09
H1 MESH HCA3 0.09 0.09
H2 MESH HCA3 0.09 0.09
H3 MESH HCA3 0.09 0.09
H11 MES1 HCA3 0.09 0.09
H12 MES1 HCA3 0.09 0.09
H13 MES1 HCA3 0.09 0.09
H1 ETSH HCA3 0.09 0.09
H2 ETSH HCA3 0.09 0.09
H3 ETSH HCA3 0.09 0.09
CM1 ETSH CC331 -0.27 -0.27
H4 ETSH HCA2 0.09 0.09
H5 ETSH HCA2 0.09 0.09
C2 ES1 CC331 -0.27 -0.27
H21 ES1 HCA3 0.09 0.09
H22 ES1 HCA3 0.09 0.09
H23 ES1 HCA3 0.09 0.09
H11 ES1 HCA2 0.09 0.09
H12 ES1 HCA2 0.09 0.09
H1 DMDS HCA3 0.09 0.09
H2 DMDS HCA3 0.09 0.09
H3 DMDS HCA3 0.09 0.09
H4 DMDS HCA3 0.09 0.09
H5 DMDS HCA3 0.09 0.09
H6 DMDS HCA3 0.09 0.09
H1 DEDS HCA2 0.09 0.09
H2 DEDS HCA2 0.09 0.09
H4 DEDS HCA2 0.09 0.09
H5 DEDS HCA2 0.09 0.09
CM0 DEDS CC331 -0.27 -0.27
H01 DEDS HCA3 0.09 0.09
H02 DEDS HCA3 0.09 0.09
H03 DEDS HCA3 0.09 0.09
CM5 DEDS CC331 -0.27 -0.27
H51 DEDS HCA3 0.09 0.09
H52 DEDS HCA3 0.09 0.09
H53 DEDS HCA3 0.09 0.09
H1 EMS HCA3 0.09 0.09
H2 EMS HCA3 0.09 0.09
H3 EMS HCA3 0.09 0.09
CM1 EMS CC331 -0.27 -0.27
H4 EMS HCA2 0.09 0.09
H5 EMS HCA2 0.09 0.09
H6 EMS HCA3 0.09 0.09
H7 EMS HCA3 0.09 0.09
H8 EMS HCA3 0.09 0.09
CB MIMI CC331 -0.18 -0.27
HB1 MIMI HCA3 0.09 0.09
HB2 MIMI HCA3 0.09 0.09
HB3 MIMI HCA3 0.09 0.09
CA EIMI CC331 -0.27 -0.27
HA1 EIMI HCA3 0.09 0.09
HA2 EIMI HCA3 0.09 0.09
HA3 EIMI HCA3 0.09 0.09
CB EIMI CC322 -0.09 -0.18
HB1 EIMI HCA2 0.09 0.09
HB2 EIMI HCA2 0.09 0.09
CA EIMM CC331 -0.27 -0.27
HA1 EIMM HCA3 0.09 0.09
HA2 EIMM HCA3 0.09 0.09
HA3 EIMM HCA3 0.09 0.09
CB EIMM CC322 -0.05 -0.18
HB1 EIMM HCA2 0.09 0.09
HB2 EIMM HCA2 0.09 0.09
CG EBEN CG2R61 0.000 0
CB EBEN CC322 -0.18 -0.18
HB1 EBEN HCA2 0.09 0.09
HB2 EBEN HCA2 0.09 0.09
CA EBEN CC331 -0.27 -0.27
HA1 EBEN HCA3 0.09 0.09
HA2 EBEN HCA3 0.09 0.09
HA3 EBEN HCA3 0.09 0.09
CZ PHEN CG2R61 0.11 0.23
OH PHEN OC311 -0.53 -0.65
HH PHEN HCP1 0.42 0.42
CG EPHE CG2R61 0.00 0
CZ EPHE CG2R61 0.11 0.23
OH EPHE OC311 -0.53 -0.65
HH EPHE HCP1 0.42 0.42
CB EPHE CC322 -0.18 -0.18
HB1 EPHE HCA2 0.09 0.09
HB2 EPHE HCA2 0.09 0.09
CA EPHE CC331 -0.27 -0.27
HA1 EPHE HCA3 0.09 0.09
HA2 EPHE HCA3 0.09 0.09
HA3 EPHE HCA3 0.09 0.09
CZ PHEO CC2O3 0.40 0.48
OH PHEO OC2D3 -0.76 -0.48
CB AP2 CC3251 -0.18 -0.18
CG AP2 CC3251 -0.18 -0.18
OY AP2 OC2D3 -0.51 -0.48
HA AP2 HCA1 0.09 0.09
HB1 AP2 HCA2 0.09 0.09
HB2 AP2 HCA2 0.09 0.09
HG1 AP2 HCA2 0.09 0.09
HG2 AP2 HCA2 0.09 0.09
HD1 AP2 HCA2 0.09 0.09
HD2 AP2 HCA2 0.09 0.09
CAY AP2 CC331 -0.27 -0.27
HY1 AP2 HCA3 0.09 0.09
HY2 AP2 HCA3 0.09 0.09
HY3 AP2 HCA3 0.09 0.09
O AP2 OC2D3 -0.51 -0.48
CB PDIP CC3251 -0.18 -0.18
CG PDIP CC3251 -0.18 -0.18
OY PDIP OC2D3 -0.51 -0.48
HA PDIP HCA1 0.09 0.09
HB1 PDIP HCA2 0.09 0.09
HB2 PDIP HCA2 0.09 0.09
HG1 PDIP HCA2 0.09 0.09
HG2 PDIP HCA2 0.09 0.09
HD1 PDIP HCA2 0.09 0.09
HD2 PDIP HCA2 0.09 0.09
CAY PDIP CC331 -0.27 -0.27
HY1 PDIP HCA3 0.09 0.09
HY2 PDIP HCA3 0.09 0.09
HY3 PDIP HCA3 0.09 0.09
O PDIP OC2D3 -0.51 -0.48
HR1 PDIP HCA3 0.09 0.09
HR2 PDIP HCA3 0.09 0.09
HR3 PDIP HCA3 0.09 0.09
CB TP2 CC3251 -0.18 -0.18
CG TP2 CC3251 -0.18 -0.18
O TP2 OC2D3 -0.51 -0.48
HA TP2 HCA1 0.09 0.09
HB1 TP2 HCA2 0.09 0.09
HB2 TP2 HCA2 0.09 0.09
HG1 TP2 HCA2 0.09 0.09
HG2 TP2 HCA2 0.09 0.09
HD1 TP2 HCA2 0.09 0.09
HD2 TP2 HCA2 0.09 0.09
H11 ETHA HCA3 0.09 0.09
H12 ETHA HCA3 0.09 0.09
H13 ETHA HCA3 0.09 0.09
C1 ETHA CC331 -0.27 -0.27
H21 ETHA HCA3 0.09 0.09
H22 ETHA HCA3 0.09 0.09
H23 ETHA HCA3 0.09 0.09
C2 ETHA CC331 -0.27 -0.27
H11 PRPA HCA3 0.09 0.09
H12 PRPA HCA3 0.09 0.09
H13 PRPA HCA3 0.09 0.09
C1 PRPA CC331 -0.27 -0.27
C2 PRPA CC322 -0.18 -0.18
H21 PRPA HCA2 0.09 0.09
H22 PRPA HCA2 0.09 0.09
H31 PRPA HCA3 0.09 0.09
H32 PRPA HCA3 0.09 0.09
H33 PRPA HCA3 0.09 0.09
C3 PRPA CC331 -0.27 -0.27
H11 BUTA HCA3 0.09 0.09
H12 BUTA HCA3 0.09 0.09
H13 BUTA HCA3 0.09 0.09
C1 BUTA CC331 -0.27 -0.27
H21 BUTA HCA2 0.09 0.09
H22 BUTA HCA2 0.09 0.09
C2 BUTA CC322 -0.18 -0.18
H31 BUTA HCA2 0.09 0.09
H32 BUTA HCA2 0.09 0.09
C3 BUTA CC322 -0.18 -0.18
H41 BUTA HCA3 0.09 0.09
H42 BUTA HCA3 0.09 0.09
