C1 ACET CG331 -0.37 -0.37
C2 ACET CG2O3 0.62 0.62
H1 ACET HGA3 0.09 0.09
H2 ACET HGA3 0.09 0.09
H3 ACET HGA3 0.09 0.09
O1 ACET OG2D2 -0.76 -0.76
O2 ACET OG2D2 -0.76 -0.76
C2 PROA CG321 -0.28 -0.28
C1 PROA CG2O3 0.62 0.62
H21 PROA HGA2 0.09 0.09
H22 PROA HGA2 0.09 0.09
O1 PROA OG2D2 -0.76 -0.76
O2 PROA OG2D2 -0.76 -0.76
C3 PROA CG331 -0.27 -0.27
H31 PROA HGA3 0.09 0.09
H32 PROA HGA3 0.09 0.09
H33 PROA HGA3 0.09 0.09
C GUAN CG2N1 0.64 0.63999
N1 GUAN NG2P1 -0.80 -0.68888
H11 GUAN HGP2 0.46 0.46
H12 GUAN HGP2 0.46 0.46
N2 GUAN NG2P1 -0.80 -0.68888
H21 GUAN HGP2 0.46 0.46
H22 GUAN HGP2 0.46 0.46
N3 GUAN NG2P1 -0.80 -0.68888
H31 GUAN HGP2 0.46 0.46
H32 GUAN HGP2 0.46 0.46
C MGUA CG2N1 0.64 0.64
N1 MGUA NG2P1 -0.80 -0.8
H11 MGUA HGP2 0.46 0.46
H12 MGUA HGP2 0.46 0.46
N2 MGUA NG2P1 -0.80 -0.8
H21 MGUA HGP2 0.46 0.46
H22 MGUA HGP2 0.46 0.46
N3 MGUA NG2P1 -0.70 -0.589
H31 MGUA HGP2 0.44 0.44
C2 MGUA CG334 0.11 0.11
HC1 MGUA HGA3 0.09 0.09
HC2 MGUA HGA3 0.09 0.09
HC3 MGUA HGA3 0.09 0.09
N GLYN NG321 -0.96 -0.96
HT1 GLYN HGPAM2 0.34 0.34
HT2 GLYN HGPAM2 0.34 0.34
CA GLYN CG321 0.18 0.18
HA1 GLYN HGA2 0.05 0.05
HA2 GLYN HGA2 0.05 0.05
C GLYN CG2O2 0.75 0.75
OT1 GLYN OG2D1 -0.55 -0.55
OT2 GLYN OG311 -0.63 -0.63
HO2 GLYN HGP1 0.43 0.43
CE MAMM CG334 0.16 0.16
NZ MAMM NG3P3 -0.30 -0.3
HE1 MAMM HGA3 0.05 0.05
HE2 MAMM HGA3 0.05 0.05
HE3 MAMM HGA3 0.05 0.05
HZ1 MAMM HGP2 0.33 0.33
HZ2 MAMM HGP2 0.33 0.33
HZ3 MAMM HGP2 0.33 0.33
CE EAMM CG324 0.21 0.21
NZ EAMM NG3P3 -0.30 -0.3
HE1 EAMM HGA2 0.05 0.05
HE2 EAMM HGA2 0.05 0.05
HZ1 EAMM HGP2 0.33 0.33
HZ2 EAMM HGP2 0.33 0.33
HZ3 EAMM HGP2 0.33 0.33
C1 EAMM CG331 -0.27 -0.27
H11 EAMM HGA3 0.09 0.09
H12 EAMM HGA3 0.09 0.09
H13 EAMM HGA3 0.09 0.09
C2 ACEH CG331 -0.30 -0.31
C1 ACEH CG2O2 0.75 0.75
H21 ACEH HGA3 0.09 0.09
H22 ACEH HGA3 0.09 0.09
H23 ACEH HGA3 0.09 0.09
O2 ACEH OG2D1 -0.55 -0.54
O1 ACEH OG311 -0.60 -0.6
HO1 ACEH HGP1 0.43 0.43
CB MEOH CG331 -0.04 -0.04
