C1 AGLC CTL1 0.340 0.4
H1 AGLC HAL1 0.090 0.09
O1 AGLC OHL -0.650 -0.65
HO1 AGLC HOL 0.420 0.42
C5 AGLC CTL1 0.110 0.17
H5 AGLC HAL1 0.090 0.09
O5 AGLC OSL -0.400 -0.52
C2 AGLC CTL1 0.140 0.14
H2 AGLC HAL1 0.090 0.09
O2 AGLC OHL -0.650 -0.65
HO2 AGLC HOL 0.420 0.42
C3 AGLC CTL1 0.140 0.14
H3 AGLC HAL1 0.090 0.09
O3 AGLC OHL -0.650 -0.65
HO3 AGLC HOL 0.420 0.42
C4 AGLC CTL1 0.140 0.14
H4 AGLC HAL1 0.090 0.09
O4 AGLC OHL -0.650 -0.65
HO4 AGLC HOL 0.420 0.42
C6 AGLC CTL2 0.050 0.05
H61 AGLC HAL2 0.090 0.09
H62 AGLC HAL2 0.090 0.09
O6 AGLC OHL -0.650 -0.65
HO6 AGLC HOL 0.420 0.42
C1 BGLC CTL1 0.340 0.4
H1 BGLC HAL1 0.090 0.09
O1 BGLC OHL -0.650 -0.65
HO1 BGLC HOL 0.420 0.42
C5 BGLC CTL1 0.110 0.17
H5 BGLC HAL1 0.090 0.09
O5 BGLC OSL -0.400 -0.52
C2 BGLC CTL1 0.140 0.14
H2 BGLC HAL1 0.090 0.09
O2 BGLC OHL -0.650 -0.65
HO2 BGLC HOL 0.420 0.42
C3 BGLC CTL1 0.140 0.14
H3 BGLC HAL1 0.090 0.09
O3 BGLC OHL -0.650 -0.65
HO3 BGLC HOL 0.420 0.42
C4 BGLC CTL1 0.140 0.14
H4 BGLC HAL1 0.090 0.09
O4 BGLC OHL -0.650 -0.65
HO4 BGLC HOL 0.420 0.42
C6 BGLC CTL2 0.050 0.05
H61 BGLC HAL2 0.090 0.09
H62 BGLC HAL2 0.090 0.09
O6 BGLC OHL -0.650 -0.65
HO6 BGLC HOL 0.420 0.42
C1 AALT CTL1 0.340 0.4
H1 AALT HAL1 0.090 0.09
O1 AALT OHL -0.650 -0.65
HO1 AALT HOL 0.420 0.42
C5 AALT CTL1 0.110 0.17
H5 AALT HAL1 0.090 0.09
O5 AALT OSL -0.400 -0.52
C2 AALT CTL1 0.140 0.14
H2 AALT HAL1 0.090 0.09
O2 AALT OHL -0.650 -0.65
HO2 AALT HOL 0.420 0.42
C3 AALT CTL1 0.140 0.14
H3 AALT HAL1 0.090 0.09
O3 AALT OHL -0.650 -0.65
HO3 AALT HOL 0.420 0.42
C4 AALT CTL1 0.140 0.14
H4 AALT HAL1 0.090 0.09
O4 AALT OHL -0.650 -0.65
HO4 AALT HOL 0.420 0.42
C6 AALT CTL2 0.050 0.05
H61 AALT HAL2 0.090 0.09
H62 AALT HAL2 0.090 0.09
O6 AALT OHL -0.650 -0.65
HO6 AALT HOL 0.420 0.42
C1 BALT CTL1 0.340 0.4
H1 BALT HAL1 0.090 0.09
O1 BALT OHL -0.650 -0.65
HO1 BALT HOL 0.420 0.42
C5 BALT CTL1 0.110 0.17
H5 BALT HAL1 0.090 0.09
O5 BALT OSL -0.400 -0.52
C2 BALT CTL1 0.140 0.14
H2 BALT HAL1 0.090 0.09
O2 BALT OHL -0.650 -0.65
HO2 BALT HOL 0.420 0.42
C3 BALT CTL1 0.140 0.14
H3 BALT HAL1 0.090 0.09
O3 BALT OHL -0.650 -0.65
HO3 BALT HOL 0.420 0.42
C4 BALT CTL1 0.140 0.14
H4 BALT HAL1 0.090 0.09
O4 BALT OHL -0.650 -0.65
HO4 BALT HOL 0.420 0.42
C6 BALT CTL2 0.050 0.05
H61 BALT HAL2 0.090 0.09
H62 BALT HAL2 0.090 0.09
O6 BALT OHL -0.650 -0.65
HO6 BALT HOL 0.420 0.42
C1 AALL CTL1 0.340 0.4
H1 AALL HAL1 0.090 0.09
O1 AALL OHL -0.650 -0.65
HO1 AALL HOL 0.420 0.42
C5 AALL CTL1 0.110 0.17
H5 AALL HAL1 0.090 0.09
O5 AALL OSL -0.400 -0.52
C2 AALL CTL1 0.140 0.14
H2 AALL HAL1 0.090 0.09
O2 AALL OHL -0.650 -0.65
HO2 AALL HOL 0.420 0.42
C3 AALL CTL1 0.140 0.14
H3 AALL HAL1 0.090 0.09
O3 AALL OHL -0.650 -0.65
HO3 AALL HOL 0.420 0.42
C4 AALL CTL1 0.140 0.14
H4 AALL HAL1 0.090 0.09
O4 AALL OHL -0.650 -0.65
HO4 AALL HOL 0.420 0.42
C6 AALL CTL2 0.050 0.05
H61 AALL HAL2 0.090 0.09
H62 AALL HAL2 0.090 0.09
O6 AALL OHL -0.650 -0.65
HO6 AALL HOL 0.420 0.42
C1 BALL CTL1 0.340 0.4
H1 BALL HAL1 0.090 0.09
