C1 ACET CTL3 -0.37 -0.27
C2 ACET CCL 0.62 0.34
H1 ACET HAL3 0.09 0.09
H2 ACET HAL3 0.09 0.09
H3 ACET HAL3 0.09 0.09
O1 ACET OCL -0.76 -0.67
O2 ACET OCL -0.76 -0.67
C2 PROA CTL2 -0.28 -0.18
C1 PROA CCL 0.62 0.34
H21 PROA HAL2 0.09 0.09
H22 PROA HAL2 0.09 0.09
O1 PROA OCL -0.76 -0.67
O2 PROA OCL -0.76 -0.67
C3 PROA CTL3 -0.27 -0.27
H31 PROA HAL3 0.09 0.09
H32 PROA HAL3 0.09 0.09
H33 PROA HAL3 0.09 0.09
HC1 MGUA HAL3 0.09 0.09
HC2 MGUA HAL3 0.09 0.09
HC3 MGUA HAL3 0.09 0.09
HA1 GLYN HAL2 0.05 0.09
HA2 GLYN HAL2 0.05 0.09
C GLYN CL 0.75 0.9
OT1 GLYN OBL -0.55 -0.63
OT2 GLYN OHL -0.63 -0.65
HO2 GLYN HOL 0.43 0.42
HE1 MAMM HAL3 0.05 0.09
HE2 MAMM HAL3 0.05 0.09
HE3 MAMM HAL3 0.05 0.09
HZ1 MAMM HCL 0.33 0.33
HZ2 MAMM HCL 0.33 0.33
HZ3 MAMM HCL 0.33 0.33
CE EAMM CTL2 0.21 0.13
NZ EAMM NH3L -0.30 -0.3
HE1 EAMM HAL2 0.05 0.09
HE2 EAMM HAL2 0.05 0.09
HZ1 EAMM HCL 0.33 0.33
HZ2 EAMM HCL 0.33 0.33
HZ3 EAMM HCL 0.33 0.33
C1 EAMM CTL3 -0.27 -0.27
H11 EAMM HAL3 0.09 0.09
H12 EAMM HAL3 0.09 0.09
H13 EAMM HAL3 0.09 0.09
C2 ACEH CTL3 -0.30 -0.31
C1 ACEH CL 0.75 0.9
H21 ACEH HAL3 0.09 0.09
H22 ACEH HAL3 0.09 0.09
H23 ACEH HAL3 0.09 0.09
O2 ACEH OBL -0.55 -0.63
O1 ACEH OHL -0.60 -0.65
HO1 ACEH HOL 0.43 0.42
CB MEOH CTL3 -0.04 -0.04
OG MEOH OHL -0.65 -0.65
HG1 MEOH HOL 0.42 0.42
HB1 MEOH HAL3 0.09 0.09
HB2 MEOH HAL3 0.09 0.09
HB3 MEOH HAL3 0.09 0.09
HB1 METO HAL3 0.11 0.09
HB2 METO HAL3 0.11 0.09
HB3 METO HAL3 0.11 0.09
C1 ETOH CTL2 0.05 0.05
O1 ETOH OHL -0.65 -0.65
HO1 ETOH HOL 0.42 0.42
H11 ETOH HAL2 0.09 0.09
H12 ETOH HAL2 0.09 0.09
C2 ETOH CTL3 -0.27 -0.27
H21 ETOH HAL3 0.09 0.09
H22 ETOH HAL3 0.09 0.09
H23 ETOH HAL3 0.09 0.09
CA ETO CTL3 -0.27 -0.27
HB1 ETO HAL2 0.11 0.09
HB2 ETO HAL2 0.11 0.09
HA1 ETO HAL3 0.09 0.09
HA2 ETO HAL3 0.09 0.09
HA3 ETO HAL3 0.09 0.09
C2 PRO2 CTL1 0.14 0.14
O2 PRO2 OHL -0.65 -0.65
HO2 PRO2 HOL 0.42 0.42
H21 PRO2 HAL1 0.09 0.09
C1 PRO2 CTL3 -0.27 -0.27
H11 PRO2 HAL3 0.09 0.09
H12 PRO2 HAL3 0.09 0.09
H13 PRO2 HAL3 0.09 0.09
C3 PRO2 CTL3 -0.27 -0.27
H31 PRO2 HAL3 0.09 0.09
H32 PRO2 HAL3 0.09 0.09
H33 PRO2 HAL3 0.09 0.09
HA FORM HEL1 0.08 0.15
O FORM OBL -0.51 -0.63
CC ACEM CTL3 -0.27 -0.27
O ACEM OBL -0.55 -0.63
HC1 ACEM HAL3 0.09 0.09
HC2 ACEM HAL3 0.09 0.09
HC3 ACEM HAL3 0.09 0.09
