N LPPC NTL -0.60 -0.6
C13 LPPC CTL5 -0.35 -0.35
H13A LPPC HL 0.25 0.25
H13B LPPC HL 0.25 0.25
H13C LPPC HL 0.25 0.25
C14 LPPC CTL5 -0.35 -0.35
H14A LPPC HL 0.25 0.25
H14B LPPC HL 0.25 0.25
H14C LPPC HL 0.25 0.25
C15 LPPC CTL5 -0.35 -0.35
H15A LPPC HL 0.25 0.25
H15B LPPC HL 0.25 0.25
H15C LPPC HL 0.25 0.25
C12 LPPC CTL2 -0.10 -0.1
H12A LPPC HL 0.25 0.25
H12B LPPC HL 0.25 0.25
C11 LPPC CTL2 -0.08 0.08
H11A LPPC HAL2 0.09 0.09
H11B LPPC HAL2 0.09 0.09
P LPPC PL 1.50 1.36
O13 LPPC O2L -0.78 -0.78
O14 LPPC O2L -0.78 -0.78
O11 LPPC OSL -0.57 -0.66
O12 LPPC OSL -0.57 -0.66
C1 LPPC CTL2 -0.08 0.08
HA LPPC HAL2 0.09 0.09
HB LPPC HAL2 0.09 0.09
C2 LPPC CTL2 -0.18 -0.18
HS LPPC HAL2 0.09 0.09
HR LPPC HAL2 0.09 0.09
C3 LPPC CTL2 0.08 0.08
HX LPPC HAL2 0.09 0.09
HY LPPC HAL2 0.09 0.09
O31 LPPC OSL -0.49 -0.49
C31 LPPC CL 0.90 0.9
O32 LPPC OBL -0.63 -0.63
C32 LPPC CTL2 -0.22 -0.22
H2X LPPC HAL2 0.09 0.09
H2Y LPPC HAL2 0.09 0.09
C33 LPPC CTL2 -0.18 -0.18
H3X LPPC HAL2 0.09 0.09
H3Y LPPC HAL2 0.09 0.09
C34 LPPC CTL2 -0.18 -0.18
H4X LPPC HAL2 0.09 0.09
H4Y LPPC HAL2 0.09 0.09
C35 LPPC CTL2 -0.18 -0.18
H5X LPPC HAL2 0.09 0.09
H5Y LPPC HAL2 0.09 0.09
C36 LPPC CTL2 -0.18 -0.18
H6X LPPC HAL2 0.09 0.09
H6Y LPPC HAL2 0.09 0.09
C37 LPPC CTL2 -0.18 -0.18
H7X LPPC HAL2 0.09 0.09
H7Y LPPC HAL2 0.09 0.09
C38 LPPC CTL2 -0.18 -0.18
H8X LPPC HAL2 0.09 0.09
H8Y LPPC HAL2 0.09 0.09
C39 LPPC CTL2 -0.18 -0.18
H9X LPPC HAL2 0.09 0.09
H9Y LPPC HAL2 0.09 0.09
C310 LPPC CTL2 -0.18 -0.18
H10X LPPC HAL2 0.09 0.09
H10Y LPPC HAL2 0.09 0.09
C311 LPPC CTL2 -0.18 -0.18
H11X LPPC HAL2 0.09 0.09
H11Y LPPC HAL2 0.09 0.09
C312 LPPC CTL3 -0.27 -0.27
H12X LPPC HAL3 0.09 0.09
H12Y LPPC HAL3 0.09 0.09
H12Z LPPC HAL3 0.09 0.09
S SDS SL 1.33 1.33001
OS1 SDS OSL -0.28 -0.28
OS2 SDS O2L -0.65 -0.65
OS3 SDS O2L -0.65 -0.65
OS4 SDS O2L -0.65 -0.65
C1 SDS CTL2 -0.28 -0.28
H11 SDS HAL2 0.09 0.09
H12 SDS HAL2 0.09 0.09
C2 SDS CTL2 -0.18 -0.18
H21 SDS HAL2 0.09 0.09
H22 SDS HAL2 0.09 0.09
C3 SDS CTL2 -0.18 -0.18
H31 SDS HAL2 0.09 0.09
H32 SDS HAL2 0.09 0.09
C4 SDS CTL2 -0.18 -0.18
H41 SDS HAL2 0.09 0.09
H42 SDS HAL2 0.09 0.09
C5 SDS CTL2 -0.18 -0.18
H51 SDS HAL2 0.09 0.09
H52 SDS HAL2 0.09 0.09
C6 SDS CTL2 -0.18 -0.18
H61 SDS HAL2 0.09 0.09
H62 SDS HAL2 0.09 0.09
C7 SDS CTL2 -0.18 -0.18
H71 SDS HAL2 0.09 0.09
H72 SDS HAL2 0.09 0.09
C8 SDS CTL2 -0.18 -0.18
H81 SDS HAL2 0.09 0.09
H82 SDS HAL2 0.09 0.09
C9 SDS CTL2 -0.18 -0.18
H91 SDS HAL2 0.09 0.09
H92 SDS HAL2 0.09 0.09
C10 SDS CTL2 -0.18 -0.18
H101 SDS HAL2 0.09 0.09
H102 SDS HAL2 0.09 0.09
C11 SDS CTL2 -0.18 -0.18
H111 SDS HAL2 0.09 0.09
H112 SDS HAL2 0.09 0.09
C12 SDS CTL3 -0.27 -0.27
H121 SDS HAL3 0.09 0.09
H122 SDS HAL3 0.09 0.09
H123 SDS HAL3 0.09 0.09
N DLPC NTL -0.60 -0.6
C13 DLPC CTL5 -0.35 -0.35
H13A DLPC HL 0.25 0.25
H13B DLPC HL 0.25 0.25
H13C DLPC HL 0.25 0.25
C14 DLPC CTL5 -0.35 -0.35
H14A DLPC HL 0.25 0.25
H14B DLPC HL 0.25 0.25
H14C DLPC HL 0.25 0.25
C15 DLPC CTL5 -0.35 -0.35
H15A DLPC HL 0.25 0.25
H15B DLPC HL 0.25 0.25
H15C DLPC HL 0.25 0.25
C12 DLPC CTL2 -0.10 -0.1
H12A DLPC HL 0.25 0.25
H12B DLPC HL 0.25 0.25
C11 DLPC CTL2 -0.08 0.08
H11A DLPC HAL2 0.09 0.09
H11B DLPC HAL2 0.09 0.09
P DLPC PL 1.50 1.36
O13 DLPC O2L -0.78 -0.78
O14 DLPC O2L -0.78 -0.78
O11 DLPC OSL -0.57 -0.66
O12 DLPC OSL -0.57 -0.66
C1 DLPC CTL2 -0.08 0.08
HA DLPC HAL2 0.09 0.09
HB DLPC HAL2 0.09 0.09
C2 DLPC CTL1 0.17 0.17
HS DLPC HAL1 0.09 0.09
O21 DLPC OSL -0.49 -0.49
C21 DLPC CL 0.90 0.9
