CB MEOH CN9 -0.04 -0.17
OG MEOH ON5 -0.65 -0.53
HG1 MEOH HN5 0.42 0.43
HB1 MEOH HN9 0.09 0.09
HB2 MEOH HN9 0.09 0.09
HB3 MEOH HN9 0.09 0.09
CG IMIA CN3 -0.05 0.12
HG IMIA HN3 0.09 0.17
CD2 IMIA CN3 0.22 -0.1
HD2 IMIA HN3 0.10 0.17
ND1 IMIA NN2 -0.36 -0.75
HD1 IMIA HN2 0.32 0.36
CE1 IMIA CN4 0.25 0.33
HE1 IMIA HN3 0.13 0.13
NE2 IMIA NN3 -0.70 -0.43
ND1 MIMI NN2 -0.36 -0.75
HD1 MIMI HN2 0.32 0.36
CG MIMI CN3 -0.05 0.19
CB MIMI CN9 -0.18 -0.17
HB1 MIMI HN9 0.09 0.09
HB2 MIMI HN9 0.09 0.09
HB3 MIMI HN9 0.09 0.09
NE2 MIMI NN3 -0.70 -0.43
CD2 MIMI CN3 0.22 -0.1
HD2 MIMI HN3 0.10 0.17
CE1 MIMI CN4 0.25 0.33
HE1 MIMI HN3 0.13 0.13
CG BENZ CN3 -0.115 -0.17
HG BENZ HN3 0.115 0.17
CD1 BENZ CN3 -0.115 -0.17
HD1 BENZ HN3 0.115 0.17
CD2 BENZ CN3 -0.115 -0.17
HD2 BENZ HN3 0.115 0.17
CE1 BENZ CN3 -0.115 -0.17
HE1 BENZ HN3 0.115 0.17
CE2 BENZ CN3 -0.115 -0.17
HE2 BENZ HN3 0.115 0.17
CZ BENZ CN3 -0.115 -0.17
HZ BENZ HN3 0.115 0.17
CG PHEN CN3 -0.115 -0.17
HG PHEN HN3 0.115 0.17
CD1 PHEN CN3 -0.115 -0.17
HD1 PHEN HN3 0.115 0.17
CD2 PHEN CN3 -0.115 -0.17
HD2 PHEN HN3 0.115 0.17
CE1 PHEN CN3 -0.115 -0.17
HE1 PHEN HN3 0.115 0.17
CE2 PHEN CN3 -0.115 -0.17
HE2 PHEN HN3 0.115 0.17
CZ PHEN CN3 0.11 0.23
OH PHEN ON5 -0.53 -0.66
HH PHEN HN5 0.42 0.43
CG PHEO CN3 -0.115 -0.17
HG PHEO HN3 0.115 0.17
CD1 PHEO CN3 -0.115 -0.14
HD1 PHEO HN3 0.115 0.14
CD2 PHEO CN3 -0.115 -0.14
HD2 PHEO HN3 0.115 0.14
CE1 PHEO CN3 -0.60 -0.22
HE1 PHEO HN3 0.28 0.17
CE2 PHEO CN3 -0.60 -0.22
HE2 PHEO HN3 0.28 0.17
CZ PHEO CN1 0.40 0.58
OH PHEO ON1 -0.76 -0.48
H11 ETHA HN9 0.09 0.09
H12 ETHA HN9 0.09 0.09
H13 ETHA HN9 0.09 0.09
C1 ETHA CN9 -0.27 -0.27
H21 ETHA HN9 0.09 0.09
H22 ETHA HN9 0.09 0.09
H23 ETHA HN9 0.09 0.09
C2 ETHA CN9 -0.27 -0.27
C1 C3 CN8 -0.18 -0.18
H11 C3 HN7 0.09 0.09
H12 C3 HN7 0.09 0.09
C2 C3 CN8 -0.18 -0.18
H21 C3 HN7 0.09 0.09
H22 C3 HN7 0.09 0.09
C3 C3 CN8 -0.18 -0.18
H31 C3 HN7 0.09 0.09
H32 C3 HN7 0.09 0.09
N1 PYR1 NN3 -0.600 -0.14
C2 PYR1 CN3 0.180 -0.1
C3 PYR1 CN3 -0.115 -0.17
C4 PYR1 CN3 -0.115 -0.17
C5 PYR1 CN3 -0.115 -0.17
C6 PYR1 CN3 0.180 -0.1
H2 PYR1 HN3 0.120 0.17
H3 PYR1 HN3 0.115 0.17
H4 PYR1 HN3 0.115 0.17
H5 PYR1 HN3 0.115 0.17
H6 PYR1 HN3 0.120 0.17
NZ 4AP2 NN3 -0.600 -0.14
CE1 4AP2 CN3 0.180 -0.05
CD1 4AP2 CN3 -0.115 -0.12
CG 4AP2 CN2 0.050 0.01
CE2 4AP2 CN3 0.180 -0.05
CD2 4AP2 CN3 -0.115 -0.12
NG 4AP2 NN1 -0.850 -0.77
HE1 4AP2 HN3 0.120 0.17
HD1 4AP2 HN3 0.115 0.07
HD2 4AP2 HN3 0.115 0.07
HE2 4AP2 HN3 0.120 0.17
HG11 4AP2 HN1 0.400 0.38
HG12 4AP2 HN1 0.400 0.38
CG 3APY CN3 -0.115 -0.12
HG 3APY HN3 0.115 0.07
CD1 3APY CN2 0.090 0.01
ND1 3APY NN1 -0.840 -0.77
HD11 3APY HN1 0.370 0.38
HD12 3APY HN1 0.380 0.38
CD2 3APY CN3 -0.115 -0.12
HD2 3APY HN3 0.115 0.17
CE1 3APY CN3 0.180 -0.1
HE1 3APY HN3 0.120 0.17
CE2 3APY CN3 0.180 -0.1
HE2 3APY HN3 0.120 0.17
NZ 3APY NN3 -0.600 -0.14
NZ 34AP NN3 -0.600 -0.14
CE1 34AP CN3 0.180 -0.1
CD1 34AP CN2 0.120 0.01
CG 34AP CN2 0.070 0.01
CE2 34AP CN3 0.180 -0.05
CD2 34AP CN3 -0.115 -0.12
ND1 34AP NN1 -0.850 -0.77
NG 34AP NN1 -0.850 -0.77
HE1 34AP HN3 0.120 0.17
HD2 34AP HN3 0.115 0.07
HE2 34AP HN3 0.120 0.17
HD11 34AP HN1 0.350 0.38
HD12 34AP HN1 0.380 0.38
HG11 34AP HN1 0.390 0.38
HG12 34AP HN1 0.390 0.38
NZ 3HOP NN3 -0.600 -0.14
CE1 3HOP CN3 0.180 -0.1
CG 3HOP CN3 -0.115 -0.17
CD2 3HOP CN3 -0.115 -0.17
CE2 3HOP CN3 0.180 -0.1
HE1 3HOP HN3 0.120 0.17
HG 3HOP HN3 0.115 0.17
HD2 3HOP HN3 0.115 0.17
HE2 3HOP HN3 0.120 0.17
CD1 3HOP CN3 0.11 0.23
OH 3HOP ON5 -0.53 -0.66
HO1 3HOP HN5 0.42 0.43
NZ 3MEP NN3 -0.600 -0.14
CE1 3MEP CN3 0.180 -0.1
CG 3MEP CN3 -0.115 -0.17
CD2 3MEP CN3 -0.115 -0.17
CE2 3MEP CN3 0.180 -0.1
HE1 3MEP HN3 0.120 0.17
HG 3MEP HN3 0.115 0.17
HD2 3MEP HN3 0.115 0.17
HE2 3MEP HN3 0.120 0.17
CD3 3MEP CN9 -0.27 -0.17
H31 3MEP HN9 0.09 0.09
H32 3MEP HN9 0.09 0.09
H33 3MEP HN9 0.09 0.09
NZ 3PHP NN3 -0.600 -0.14
CE1 3PHP CN3 0.180 -0.1
CD1 3PHP CN3 0.000 0
CG 3PHP CN3 -0.115 -0.17
