H13A LPPC HN9 0.25 0.09
H13B LPPC HN9 0.25 0.09
H13C LPPC HN9 0.25 0.09
H14A LPPC HN9 0.25 0.09
H14B LPPC HN9 0.25 0.09
H14C LPPC HN9 0.25 0.09
H15A LPPC HN9 0.25 0.09
H15B LPPC HN9 0.25 0.09
H15C LPPC HN9 0.25 0.09
H12A LPPC HN7 0.25 0.09
H12B LPPC HN7 0.25 0.09
C11 LPPC CTL2 -0.08 -0.08
H11A LPPC HN7 0.09 0.09
H11B LPPC HN7 0.09 0.09
P LPPC P 1.50 1.40666
O13 LPPC ON3 -0.78 -0.9
O14 LPPC ON3 -0.78 -0.9
O11 LPPC ON2 -0.57 -0.57
O12 LPPC ON2 -0.57 -0.57
C1 LPPC CTL2 -0.08 -0.08
HA LPPC HN7 0.09 0.09
HB LPPC HN7 0.09 0.09
C2 LPPC CTL2 -0.18 -0.18
HS LPPC HN7 0.09 0.09
HR LPPC HN7 0.09 0.09
HX LPPC HN7 0.09 0.09
HY LPPC HN7 0.09 0.09
O32 LPPC ON1 -0.63 -0.48
H2X LPPC HN7 0.09 0.09
H2Y LPPC HN7 0.09 0.09
C33 LPPC CTL2 -0.18 -0.18
H3X LPPC HN7 0.09 0.09
H3Y LPPC HN7 0.09 0.09
C34 LPPC CTL2 -0.18 -0.18
H4X LPPC HN7 0.09 0.09
H4Y LPPC HN7 0.09 0.09
C35 LPPC CTL2 -0.18 -0.18
H5X LPPC HN7 0.09 0.09
H5Y LPPC HN7 0.09 0.09
C36 LPPC CTL2 -0.18 -0.18
H6X LPPC HN7 0.09 0.09
H6Y LPPC HN7 0.09 0.09
C37 LPPC CTL2 -0.18 -0.18
H7X LPPC HN7 0.09 0.09
H7Y LPPC HN7 0.09 0.09
C38 LPPC CTL2 -0.18 -0.18
H8X LPPC HN7 0.09 0.09
H8Y LPPC HN7 0.09 0.09
C39 LPPC CTL2 -0.18 -0.18
H9X LPPC HN7 0.09 0.09
H9Y LPPC HN7 0.09 0.09
C310 LPPC CTL2 -0.18 -0.18
H10X LPPC HN7 0.09 0.09
H10Y LPPC HN7 0.09 0.09
C311 LPPC CTL2 -0.18 -0.28
H11X LPPC HN7 0.09 0.09
H11Y LPPC HN7 0.09 0.09
C312 LPPC CN9 -0.27 -0.17
H12X LPPC HN9 0.09 0.09
H12Y LPPC HN9 0.09 0.09
H12Z LPPC HN9 0.09 0.09
H11 SDS HN7 0.09 0.09
H12 SDS HN7 0.09 0.09
C2 SDS CTL2 -0.18 -0.18
H21 SDS HN7 0.09 0.09
H22 SDS HN7 0.09 0.09
C3 SDS CTL2 -0.18 -0.18
H31 SDS HN7 0.09 0.09
H32 SDS HN7 0.09 0.09
C4 SDS CTL2 -0.18 -0.18
H41 SDS HN7 0.09 0.09
H42 SDS HN7 0.09 0.09
C5 SDS CTL2 -0.18 -0.18
H51 SDS HN7 0.09 0.09
H52 SDS HN7 0.09 0.09
C6 SDS CTL2 -0.18 -0.18
H61 SDS HN7 0.09 0.09
H62 SDS HN7 0.09 0.09
C7 SDS CTL2 -0.18 -0.18
H71 SDS HN7 0.09 0.09
H72 SDS HN7 0.09 0.09
C8 SDS CTL2 -0.18 -0.18
H81 SDS HN7 0.09 0.09
H82 SDS HN7 0.09 0.09
C9 SDS CTL2 -0.18 -0.18
H91 SDS HN7 0.09 0.09
H92 SDS HN7 0.09 0.09
C10 SDS CTL2 -0.18 -0.18
H101 SDS HN7 0.09 0.09
H102 SDS HN7 0.09 0.09
C11 SDS CTL2 -0.18 -0.28
H111 SDS HN7 0.09 0.09
H112 SDS HN7 0.09 0.09
C12 SDS CN9 -0.27 -0.17
H121 SDS HN9 0.09 0.09
H122 SDS HN9 0.09 0.09
H123 SDS HN9 0.09 0.09
H13A DLPC HN9 0.25 0.09
H13B DLPC HN9 0.25 0.09
H13C DLPC HN9 0.25 0.09
H14A DLPC HN9 0.25 0.09
H14B DLPC HN9 0.25 0.09
H14C DLPC HN9 0.25 0.09
H15A DLPC HN9 0.25 0.09
H15B DLPC HN9 0.25 0.09
H15C DLPC HN9 0.25 0.09
H12A DLPC HN7 0.25 0.09
H12B DLPC HN7 0.25 0.09
C11 DLPC CTL2 -0.08 -0.08
H11A DLPC HN7 0.09 0.09
H11B DLPC HN7 0.09 0.09
P DLPC P 1.50 1.40666
O13 DLPC ON3 -0.78 -0.9
O14 DLPC ON3 -0.78 -0.9
O11 DLPC ON2 -0.57 -0.57
O12 DLPC ON2 -0.57 -0.57
HA DLPC HN7 0.09 0.09
HB DLPC HN7 0.09 0.09
HS DLPC HN7 0.09 0.09
O22 DLPC ON1 -0.63 -0.48
H2R DLPC HN7 0.09 0.09
H2S DLPC HN7 0.09 0.09
HX DLPC HN7 0.09 0.09
HY DLPC HN7 0.09 0.09
O32 DLPC ON1 -0.63 -0.48
H2X DLPC HN7 0.09 0.09
H2Y DLPC HN7 0.09 0.09
