H5' URA,3PO3,5TER HN8 0.09 0.09
H1' URA,3PO3,5TER HN7 0.09 0.09
N3 URA,3PO3,5TER NN2U -0.46 -0.46
H5 URA,3PO3,5TER HN3 0.10 0.1
H2'' URA,3PO3,5TER HN7 0.09 0.09
C3' URA,3PO3,5TER CN7 -0.09 -0.09
H4' URA,3PO3,5TER HN7 0.09 0.09
H5'' URA,3PO3,5TER HN8 0.09 0.09
H3 URA,3PO3,5TER HN2 0.36 0.36
C2 URA,3PO3,5TER CN1T 0.55 0.55
N1 URA,3PO3,5TER NN2B -0.34 -0.34
C6 URA,3PO3,5TER CN3 0.20 0.2
C5 URA,3PO3,5TER CN3 -0.15 -0.15
O2 URA,3PO3,5TER ON1 -0.45 -0.45
C1' URA,3PO3,5TER CN7B 0.16 0.16
H3' URA,3PO3,5TER HN7 0.09 0.09
O4' URA,3PO3,5TER ON6B -0.50 -0.5
O3' URA,3PO3,5TER ON2 -0.40 -0.4
C4 URA,3PO3,5TER CN1 0.53 0.53
C5' URA,3PO3,5TER CN8B 0.05 0.05
C2' URA,3PO3,5TER CN7B 0.14 0.14
C4' URA,3PO3,5TER CN7 0.16 0.16
O5' URA,3PO3,5TER ON5 -0.66 -0.66
O2' URA,3PO3,5TER ON5 -0.66 -0.66
H2' URA,3PO3,5TER HN5 0.43 0.43
O4 URA,3PO3,5TER ON1 -0.48 -0.48
H6 URA,3PO3,5TER HN3 0.14 0.14
O3P3 URA,3PO3,5TER ON3 -0.90 -0.9
O2P3 URA,3PO3,5TER ON3 -0.90 -0.9
P3 URA,3PO3,5TER P 1.10 1.09999
O1P3 URA,3PO3,5TER ON3 -0.90 -0.9
H5T URA,3PO3,5TER HN5 0.43 0.43
H5' URA,3TER,5PHO HN8 0.09 0.09
H1' URA,3TER,5PHO HN7 0.09 0.09
N3 URA,3TER,5PHO NN2U -0.46 -0.46
H5 URA,3TER,5PHO HN3 0.10 0.1
H2'' URA,3TER,5PHO HN7 0.09 0.09
C3' URA,3TER,5PHO CN7 0.14 0.14
H4' URA,3TER,5PHO HN7 0.09 0.09
H5'' URA,3TER,5PHO HN8 0.09 0.09
H3 URA,3TER,5PHO HN2 0.36 0.36
C2 URA,3TER,5PHO CN1T 0.55 0.55
C6 URA,3TER,5PHO CN3 0.20 0.2
N1 URA,3TER,5PHO NN2B -0.34 -0.34
C5 URA,3TER,5PHO CN3 -0.15 -0.15
O2 URA,3TER,5PHO ON1 -0.45 -0.45
C1' URA,3TER,5PHO CN7B 0.16 0.16
H3' URA,3TER,5PHO HN7 0.09 0.09
P URA,3TER,5PHO P 1.50 1.5
O3' URA,3TER,5PHO ON5 -0.66 -0.66
O4' URA,3TER,5PHO ON6B -0.50 -0.5
C4 URA,3TER,5PHO CN1 0.53 0.53
C5' URA,3TER,5PHO CN8B -0.08 -0.08
O1P URA,3TER,5PHO ON3 -0.82 -0.82
C2' URA,3TER,5PHO CN7B 0.14 0.14
C4' URA,3TER,5PHO CN7 0.16 0.16
O5' URA,3TER,5PHO ON2 -0.62 -0.62
O2' URA,3TER,5PHO ON5 -0.66 -0.66
H2' URA,3TER,5PHO HN5 0.43 0.43
O4 URA,3TER,5PHO ON1 -0.48 -0.48
H6 URA,3TER,5PHO HN3 0.14 0.14
O2P URA,3TER,5PHO ON3 -0.82 -0.82
H3T URA,3TER,5PHO HN5 0.43 0.43
O5T URA,3TER,5PHO ON4 -0.68 -0.68
H5T URA,3TER,5PHO HN4 0.34 0.34
H5' URA,3POM,5TER HN8 0.09 0.09
H1' URA,3POM,5TER HN7 0.09 0.09
N3 URA,3POM,5TER NN2U -0.46 -0.46
H5 URA,3POM,5TER HN3 0.10 0.1
H2'' URA,3POM,5TER HN7 0.09 0.09
C3' URA,3POM,5TER CN7 0.01 0.01
H4' URA,3POM,5TER HN7 0.09 0.09
H5'' URA,3POM,5TER HN8 0.09 0.09
H3 URA,3POM,5TER HN2 0.36 0.36
C2 URA,3POM,5TER CN1T 0.55 0.55
C6 URA,3POM,5TER CN3 0.20 0.2
N1 URA,3POM,5TER NN2B -0.34 -0.34
C5 URA,3POM,5TER CN3 -0.15 -0.15
O2 URA,3POM,5TER ON1 -0.45 -0.45
C1' URA,3POM,5TER CN7B 0.16 0.16
H3' URA,3POM,5TER HN7 0.09 0.09
O3' URA,3POM,5TER ON2 -0.57 -0.57
O4' URA,3POM,5TER ON6B -0.50 -0.5
C4 URA,3POM,5TER CN1 0.53 0.53
C5' URA,3POM,5TER CN8B 0.05 0.05
C2' URA,3POM,5TER CN7B 0.14 0.14
