C1 AGLC CP1 0.340 0.37
H1 AGLC HA 0.090 0.09
O1 AGLC OH1 -0.650 -0.66
HO1 AGLC H 0.420 0.43
C5 AGLC CP1 0.110 0.14
H5 AGLC HA 0.090 0.09
O5 AGLC OS -0.400 -0.46
C2 AGLC CP2 0.140 0.14
H2 AGLC HA 0.090 0.09
O2 AGLC OH1 -0.650 -0.66
HO2 AGLC H 0.420 0.43
C3 AGLC CP2 0.140 0.14
H3 AGLC HA 0.090 0.09
O3 AGLC OH1 -0.650 -0.66
HO3 AGLC H 0.420 0.43
C4 AGLC CP2 0.140 0.14
H4 AGLC HA 0.090 0.09
O4 AGLC OH1 -0.650 -0.66
HO4 AGLC H 0.420 0.43
C6 AGLC CT2 0.050 0.05
H61 AGLC HA 0.090 0.09
H62 AGLC HA 0.090 0.09
O6 AGLC OH1 -0.650 -0.66
HO6 AGLC H 0.420 0.43
C1 BGLC CP1 0.340 0.37
H1 BGLC HA 0.090 0.09
O1 BGLC OH1 -0.650 -0.66
HO1 BGLC H 0.420 0.43
C5 BGLC CP1 0.110 0.14
H5 BGLC HA 0.090 0.09
O5 BGLC OS -0.400 -0.46
C2 BGLC CP2 0.140 0.14
H2 BGLC HA 0.090 0.09
O2 BGLC OH1 -0.650 -0.66
HO2 BGLC H 0.420 0.43
C3 BGLC CP2 0.140 0.14
H3 BGLC HA 0.090 0.09
O3 BGLC OH1 -0.650 -0.66
HO3 BGLC H 0.420 0.43
C4 BGLC CP2 0.140 0.14
H4 BGLC HA 0.090 0.09
O4 BGLC OH1 -0.650 -0.66
HO4 BGLC H 0.420 0.43
C6 BGLC CT2 0.050 0.05
H61 BGLC HA 0.090 0.09
H62 BGLC HA 0.090 0.09
O6 BGLC OH1 -0.650 -0.66
HO6 BGLC H 0.420 0.43
C1 AALT CP1 0.340 0.37
H1 AALT HA 0.090 0.09
O1 AALT OH1 -0.650 -0.66
HO1 AALT H 0.420 0.43
C5 AALT CP1 0.110 0.14
H5 AALT HA 0.090 0.09
O5 AALT OS -0.400 -0.46
C2 AALT CP2 0.140 0.14
H2 AALT HA 0.090 0.09
O2 AALT OH1 -0.650 -0.66
HO2 AALT H 0.420 0.43
C3 AALT CP2 0.140 0.14
H3 AALT HA 0.090 0.09
O3 AALT OH1 -0.650 -0.66
HO3 AALT H 0.420 0.43
C4 AALT CP2 0.140 0.14
H4 AALT HA 0.090 0.09
O4 AALT OH1 -0.650 -0.66
HO4 AALT H 0.420 0.43
C6 AALT CT2 0.050 0.05
H61 AALT HA 0.090 0.09
H62 AALT HA 0.090 0.09
O6 AALT OH1 -0.650 -0.66
HO6 AALT H 0.420 0.43
C1 BALT CP1 0.340 0.37
H1 BALT HA 0.090 0.09
O1 BALT OH1 -0.650 -0.66
HO1 BALT H 0.420 0.43
C5 BALT CP1 0.110 0.14
H5 BALT HA 0.090 0.09
