H11 ETHA HA 0.09 0.09
H12 ETHA HA 0.09 0.09
H13 ETHA HA 0.09 0.09
C1 ETHA CT3 -0.27 -0.27
H21 ETHA HA 0.09 0.09
H22 ETHA HA 0.09 0.09
H23 ETHA HA 0.09 0.09
C2 ETHA CT3 -0.27 -0.27
H11 PROP HA 0.09 0.09
H12 PROP HA 0.09 0.09
H13 PROP HA 0.09 0.09
C1 PROP CT3 -0.27 -0.27
C2 PROP CT2 -0.18 -0.18
H21 PROP HA 0.09 0.09
H22 PROP HA 0.09 0.09
H31 PROP HA 0.09 0.09
H32 PROP HA 0.09 0.09
H33 PROP HA 0.09 0.09
C3 PROP CT3 -0.27 -0.27
H11 BUTA HA 0.09 0.09
H12 BUTA HA 0.09 0.09
H13 BUTA HA 0.09 0.09
C1 BUTA CT3 -0.27 -0.27
H21 BUTA HA 0.09 0.09
H22 BUTA HA 0.09 0.09
C2 BUTA CT2 -0.18 -0.18
H31 BUTA HA 0.09 0.09
H32 BUTA HA 0.09 0.09
C3 BUTA CT2 -0.18 -0.18
H41 BUTA HA 0.09 0.09
H42 BUTA HA 0.09 0.09
H43 BUTA HA 0.09 0.09
C4 BUTA CT3 -0.27 -0.27
C1 PENT CT3 -0.27 -0.27
H11 PENT HA 0.09 0.09
H12 PENT HA 0.09 0.09
H13 PENT HA 0.09 0.09
C2 PENT CT2 -0.18 -0.18
H21 PENT HA 0.09 0.09
H22 PENT HA 0.09 0.09
C3 PENT CT2 -0.18 -0.18
H31 PENT HA 0.09 0.09
H32 PENT HA 0.09 0.09
C4 PENT CT2 -0.18 -0.18
H41 PENT HA 0.09 0.09
H42 PENT HA 0.09 0.09
C5 PENT CT3 -0.27 -0.27
H51 PENT HA 0.09 0.09
H52 PENT HA 0.09 0.09
H53 PENT HA 0.09 0.09
C1 HEXA CT3 -0.27 -0.27
H11 HEXA HA 0.09 0.09
H12 HEXA HA 0.09 0.09
H13 HEXA HA 0.09 0.09
C2 HEXA CT2 -0.18 -0.18
H21 HEXA HA 0.09 0.09
H22 HEXA HA 0.09 0.09
C3 HEXA CT2 -0.18 -0.18
H31 HEXA HA 0.09 0.09
H32 HEXA HA 0.09 0.09
C4 HEXA CT2 -0.18 -0.18
H41 HEXA HA 0.09 0.09
H42 HEXA HA 0.09 0.09
C5 HEXA CT2 -0.18 -0.18
H51 HEXA HA 0.09 0.09
H52 HEXA HA 0.09 0.09
C6 HEXA CT3 -0.27 -0.27
H61 HEXA HA 0.09 0.09
H62 HEXA HA 0.09 0.09
H63 HEXA HA 0.09 0.09
C1 HEPT CT3 -0.27 -0.27
H11 HEPT HA 0.09 0.09
H12 HEPT HA 0.09 0.09
