CG1N1 0.03
 C10 CYIN 0.03
CG2D1 2.77555756156289e-17
CG2D1O 0.02
 C1 MOBU 0.02
CG2D2 0
CG2D2O 0.24
 C5 MRDN 0.18
 C5 MTDO 0.06
CG2DC1 0.54
 C27 PMHA 0.09
 C1 STYR 0.25
 C5 HDZ1B 0.09
 C2 MOBU 0.11
CG2DC3 0.3
 C6 MRDN 0.08
 C6 MHYO 0.05
 C6 MTDO 0.17
CG2N1 1.11022302462516e-16
CG2O1 0.3
 C FORM 0.01
 C15 PACP 0.03
 C2 HDZ1 0.02
 C 2AMF 0.03
 CG GABD 0.01
 C22 PMHA 0.02
 C DMA 0.08
 C2 HDZ1B 0.02
 C DMPR 0.08
CG2O2 0.31
 C FORH 0.31
CG2O3 0.2
 CD CAL 0.1
 CD LCA 0.1
CG2O4 0
CG2O5 0.24
 C 3ACP 0.04
 C2 PHMK 0.08
 C3 PHEK 0.1
 C2 BEON 0.02
CG2O6 0.26
 C3 DMCB 0.13
 C4 DECB 0.13
CG2R51 0.68
 CG IMIM 0.03
 CD2 IMIM 0.03
 CG EIMM 0.04
 CD2 EIMM 0.03
 CD1 EIND 0.11
 C2 2PRL 0.05
 C3 2PRL 0.02
 C5 3HPR 0.1
 C3 2DHF 0.12
 C8 CYIN 0.12
 C9 CYIN 0.02
CG2R52 0.15
 C3 2PRZ 0.15
CG2R53 0.970000000000001
 C2 MRDN 0.01
 C4 MRDN 0.04
 C1 OXD4 0.19
 C3 OXD4 0.11
 C1 TRZ4 0.1
 C3 TRZ4 0.13
 C2 MHYO 0.2
 C4 MHYO 0.07
 C2 MTDO 0.05
 C4 MTDO 0.07
CG2R61 4.215
 CE1 PHEO 0.0200000000000001
 CE2 PHEO 0.0200000000000001
 CZ PHEO 0.04
 CG 4AP2 0.02
 CD1 3APY 0.02
 CD1 34AP 0.05
 CE1 3FLP 0.04
 CD1 3ACP 0.04
 C1 DFT 0.02
 C3 DFT 0.05
 C1 DFB 0.04
 C3 DFB 0.04
 C5 DFB 0.04
 C6 DFB 0.06
 CE1 BDFP 0.03
 CE2 BDFP 0.03
 CZ BDFP 0.06
 CE3 EIND 0.135
 CZ2 EIND 0.155
 CZ3 EIND 0.085
 CH2 EIND 0.025
 C3 PYRD 0.02
 C4 PYRD 0.02
 C5 PYRD 0.02
 C6 PYRD 0.02
 C5 TRIB 0.07
 C6 TRIB 0.02
 C1 CRBZ 0.065
 C2 CRBZ 0.065
 C3 CRBZ 0.065
 C8 CRBZ 0.065
 C9 CRBZ 0.065
 C10 CRBZ 0.065
 C10 QINL 0.02
 C1 IQIN 0.01
 C3 IQIN 0.04
 C5 IQIN 0.05
 C10 IQIN 0.02
 C3 CINL 0.01
 C4 CINL 0.02
 C9 CINL 0.02
 C10 CINL 0.08
 C1 FTAZ 0.0100000000000001
 C4 FTAZ 0.0100000000000001
 C4 QINZ 0.0100000000000001
 C5 QINZ 0.02
 C10 QINZ 0.06
 C2 QINX 0.04
 C3 QINX 0.04
 C5 QINX 0.04
 C10 QINX 0.04
 C2 18NFD 0.0100000000000001
 C8 18NFD 0.0100000000000001
 C5 FETZ 0.01
 C7 FETZ 0.01
 C12 FETZ 0.05
 C14 FETZ 0.05
 C1 PMHA 0.04
 C6 PMHA 0.01
 C10 PMHA 0.03
 C3 CYIN 0.175
 C4 CYIN 0.015
 C5 CYIN 0.18
 C6 CYIN 0.165
 CZ STYR 0.25
 C3 PHMK 0.07
 C4 PHEK 0.12
 C4 PMSM 0.17
 C3 PBSM 0.2
 C4 ZDOL 0.205
 C5 ZDOL 0.035
 C6 ZDOL 0.035
 C7 ZDOL 0.205
CG2R62 0.46
 C5 CSCY 0.03
 C5 CNCY 0.03
 C5 URAC 0.1
 C3 2PYO 0.16
 C4 2PYO 0.05
 C5 2PYO 0.05
 C6 2PYO 0.03
CG2R63 0.99
 C2 CSTH 0.0600000000000001
 C2 CSCY 0.01
 C2 CNTH 0.0600000000000001
 C2 CNT1 0.0600000000000001
 C2 CNT2 0.0600000000000001
 C2 CNT3 0.0600000000000001
 C2 CNCY 0.01
 C2 URAC 0.15
 C4 URAC 0.14
 C2 2PYO 0.38
CG2R64 0.310000000000001
 C4 CSCY 0.03
 C4 CNCY 0.03
 C6 NADE 0.02
 C3 TRIB 0.0600000000000002
 C2 QINZ 0.09
 C10 18NFD 0.08
CG2R66 0.285
 CD1 3FLP 0.045
 C2 DFT 0.07
 C4 DFT 0.01
 C2 DFB 0.08
 C4 DFB 0.08
CG2RC0 0.195
 C5 NADE 0.025
 CD2 EIND 0.08
 CE2 EIND 0.09
CG301 5.55111512312578e-17
CG302 0
CG311 1.38777878078145e-16
CG312 1.38777878078145e-16
CG314 0
CG321 0.91
 CM2 EMS 0.02
 CB EIMM 0.04
 C23 CAL 0.1
 C23 LCA 0.1
 C1 PRSH 0.02
 C2 DECB 0.23
 C5 DECB 0.08
 C2 DECA 0.06
 C3 DECA 0.06
 C2 PHEK 0.03
 C1 DMPR 0.08
 C4 MESN 0.07
CG324 0.08
 C9 AMCP 0.08
CG331 0.820000000000001
 C2 ACEH 0.01
 C1 DMCB 0.07
 C4 DMCB 0.08
 C1 DMA 0.08
 C1 DMCA 0.06
 C2 DMCA 0.06
 C3 MSAM 0.09
 C3 MMSM 0.07
 C3 PMSM 0.05
 C2 MMST 0.03
 C6 MMST 0.22
CG334 6.93889390390723e-17
CG3C51 0.26
 C2' T2FU 0.07
 C3' T2FU 0.03
 C3' TMFU 0.03
 C2' T2FD 0.07
 C3' T2FD 0.03
 C3' TMFD 0.03
CG3C52 0.46
 C1' T2FU 0.03
 C1' T2FD 0.03
 C2 PRLD 0.03
 C3 PRLD 0.03
 C4 PRLD 0.03
 C5 PRLD 0.03
 C2 DIOL 0.0600000000000001
 C4 DIOL 0.03
 C5 DIOL 0.03
 C2 ZDOL 0.16
CG3C54 0.0399999999999998
 C2 PRLP 0.0199999999999999
 C5 PRLP 0.0199999999999999
CLGA1 0
CLGR1 0.08
 CL5 PMHA 0.08
FGA2 0
FGA3 0
FGR1 0
HGA1 0
HGA2 0
HGA3 0
HGA4 0.26
HGA5 0.44
 H61 MRDN 0.03
 H62 MRDN 0.12
 H61 MHYO 0.02
 H62 MHYO 0.03
 H61 MTDO 0.12
 H62 MTDO 0.12
HGP1 0.78
 HT ACEM 0.01
 HT PRAM 0.01
 HO1 TFE 0.01
 HC 3NAP 0.015
 HT 3NAP 0.015
 H15 NICH 0.03
 H2 BDFP 0.03
 H211 PACP 0.02
 HT2 BAB1 0.01
 HE 2AMP 0.01
 HD 3AMP 0.01
 H 2AMF 0.02
 HG GABD 0.02
 H12 CRBZ 0.07
 H71 PHHZ 0.09
 H81 PHHZ 0.01
 H82 PHHZ 0.01
 H2 DMCB 0.01
 H3 DECB 0.01
 HO1 FORH 0.02
 HO TMAOP 0.08
 H3 MRDN 0.04
 HT2 BAB2 0.01
 H3 URAC 0.02
 H1 URAC 0.01
 H1 2PYO 0.08
 H3 MHYO 0.01
 H1 MHYO 0.05
 H21 PMSM 0.02
 H21 PBSM 0.03
HGP2 0
HGP4 0.42
 HD11 34AP 0.025
 HG11 34AP 0.01
 HG12 34AP 0.01
 H41 CSCY 0.08
 H42 CSCY 0.04
 H41 CNCY 0.08
 H42 CNCY 0.04
 H41 TCYT 0.02
 H42 TCYT 0.02
 H41 NUSC 0.02
 H42 NUSC 0.02
 H41 RNUC 0.02
 H42 RNUC 0.02
 H62 NADE 0.01
HGPAM1 0
HGPAM2 0
HGR51 0.15
 H4 3HPR 0.03
 H3 2DHF 0.09
 H8 CYIN 0.03
HGR52 0.34
 HG IMIM 0.03
 HD2 IMIM 0.03
 HD2 EIMM 0.03
 H8 NADE 0.02
 HD1 EIND 0.08
 H5 3HPR 0.04
 H9 CYIN 0.02
 H1 OXD4 0.05
 H1 TRZ4 0.03
HGR61 1.21
 HE3 EIND 0.055
 HZ2 EIND 0.045
 HZ3 EIND 0.025
 HH2 EIND 0.025
 H1 CRBZ 0.065
 H2 CRBZ 0.065
 H3 CRBZ 0.065
 H8 CRBZ 0.065
 H9 CRBZ 0.065
 H10 CRBZ 0.065
 H3 CYIN 0.055
 H4 CYIN 0.045
 H6 CYIN 0.085
 H4 ZDOL 0.165
 H5 ZDOL 0.075
 H6 ZDOL 0.075
 H7 ZDOL 0.165
HGR62 0.605
 H1 DFT 0.01
 H1 DFB 0.01
 H5 DFB 0.01
 H5 CSCY 0.03
 H5 CNCY 0.03
 H2 PYRM 0.01
 H5 TRIB 0.03
 H2 QINL 0.02
 H2 QINZ 0.01
 H4 QINZ 0.01
 H3 PMHA 0.07
 H7 PMHA 0.04
 H5 URAC 0.05
 H3 2PYO 0.12
 H4 2PYO 0.05
 H5 2PYO 0.02
 H6 2PYO 0.04
NG1T1 0.00999999999999995
NG2D1 0.1
 N2 SCH1 0.1
NG2P1 0.444360000000001
 N1 GUAN 0.11112
 N2 GUAN 0.11112
 N3 GUAN 0.11112
 N3 MGUA 0.111
NG2R50 0.33
 N4 OXD4 0.1
 N2 TRZ4 0.0599999999999999
 N4 TRZ4 0.17
NG2R51 0.45
 NE1 EIND 0.01
 N12 CRBZ 0.37
 N1 CYIN 0.07
NG2R53 0.26
 N3 MRDN 0.07
 N1 MHYO 0.12
 N3 MHYO 0.07
NG2R60 0.01
 N2 IQIN 0.01
NG2R61 0.97
 N1 URAC 0.33
 N3 URAC 0.0700000000000001
 N1 2PYO 0.57
NG2R62 0.14
 N1 CINL 0.09
 N2 CINL 0.04
NG2S0 0.05
 N DMA 0.01
 N DMF 0.03
 N DMPR 0.01
HERE
NG2S1 0.42
 N21 PACP 0.02
 NE 2AMP 0.01
 ND 3AMP 0.01
 N 2AMF 0.02
 NG GABD 0.02
 N12 PMHA 0.02
 N2 DMCB 0.0800000000000001
 N3 DECB 0.24
NG2S2 0.0100000000000002
 N FORM 0.01
NG2S3 0.43
 NG 4AP2 0.0200000000000001
 ND1 3APY 0.0199999999999999
 ND1 34AP 0.0299999999999999
 NG 34AP 0.0200000000000001
 N4 CSCY 0.16
 N4 CNCY 0.16
 N6 NADE 0.02
NG311 0.31
 N2 PMSM 0.11
 N2 PBSM 0.2
NG321 3.33066907387547e-16
NG3C51 0.13
 N1 2PRZ 0.13
NG3N1 0.15
 N7 PHHZ 0.11
 N8 PHHZ 0.04
NG3P1 0.01
 N1 QINU 0.01
NG3P2 0.0950000000000001
 N2 PRZP 0.095
OG2D1 0.73
 O2 ACEH 0.01
 O29 PACP 0.03
 O2 HDZ1 0.02
 O 2AMF 0.03
 OG GABD 0.01
 O23 PMHA 0.02
 O2 FORH 0.23
 O DMA 0.01
 O DMF 0.03
 O4 MRDN 0.1
 O2 HDZ1B 0.02
 O DMPR 0.01
 O2 MHYO 0.06
 O4 MHYO 0.08
 O2 MTDO 0.03
 O4 MTDO 0.04
OG2D2 0
OG2D3 0.04
