charmmlipid.csv Version 2.0.3
residue,order,search,replace,TER,num_atom
CHL1,0, C3  CHL1, C3  CHL ,True,74
CHL1,1, O3  CHL1, O1  CHL ,True,74
CHL1,2, H3' CHL1, HO1 CHL ,True,74
CHL1,3, H3  CHL1, H31 CHL ,True,74
CHL1,4, C4  CHL1, C4  CHL ,True,74
CHL1,5, H4A CHL1, H41 CHL ,True,74
CHL1,6, H4B CHL1, H42 CHL ,True,74
CHL1,7, C5  CHL1, C5  CHL ,True,74
CHL1,8, C6  CHL1, C6  CHL ,True,74
CHL1,9, H6  CHL1, H61 CHL ,True,74
CHL1,10, C7  CHL1, C7  CHL ,True,74
CHL1,11, H7A CHL1, H71 CHL ,True,74
CHL1,12, H7B CHL1, H72 CHL ,True,74
CHL1,13, C8  CHL1, C8  CHL ,True,74
CHL1,14, H8  CHL1, H81 CHL ,True,74
CHL1,15, C14 CHL1, C14 CHL ,True,74
CHL1,16, H14 CHL1,H141 CHL ,True,74
CHL1,17, C15 CHL1, C15 CHL ,True,74
CHL1,18,H15A CHL1,H151 CHL ,True,74
CHL1,19,H15B CHL1,H152 CHL ,True,74
CHL1,20, C16 CHL1, C16 CHL ,True,74
CHL1,21,H16A CHL1,H161 CHL ,True,74
CHL1,22,H16B CHL1,H162 CHL ,True,74
CHL1,23, C17 CHL1, C17 CHL ,True,74
CHL1,24, H17 CHL1,H171 CHL ,True,74
CHL1,25, C13 CHL1, C13 CHL ,True,74
CHL1,26, C18 CHL1, C18 CHL ,True,74
CHL1,27,H18A CHL1,H181 CHL ,True,74
CHL1,28,H18B CHL1,H182 CHL ,True,74
CHL1,29,H18C CHL1,H183 CHL ,True,74
CHL1,30, C12 CHL1, C12 CHL ,True,74
CHL1,31,H12A CHL1,H121 CHL ,True,74
CHL1,32,H12B CHL1,H122 CHL ,True,74
CHL1,33, C11 CHL1, C11 CHL ,True,74
CHL1,34,H11A CHL1,H111 CHL ,True,74
CHL1,35,H11B CHL1,H112 CHL ,True,74
CHL1,36, C9  CHL1, C9  CHL ,True,74
CHL1,37, H9  CHL1, H91 CHL ,True,74
CHL1,38, C10 CHL1, C10 CHL ,True,74
CHL1,39, C19 CHL1, C19 CHL ,True,74
CHL1,40,H19A CHL1,H191 CHL ,True,74
CHL1,41,H19B CHL1,H192 CHL ,True,74
CHL1,42,H19C CHL1,H193 CHL ,True,74
CHL1,43, C1  CHL1, C1  CHL ,True,74
CHL1,44, H1A CHL1, H11 CHL ,True,74
CHL1,45, H1B CHL1, H12 CHL ,True,74
CHL1,46, C2  CHL1, C2  CHL ,True,74
CHL1,47, H2A CHL1, H21 CHL ,True,74
CHL1,48, H2B CHL1, H22 CHL ,True,74
CHL1,49, C20 CHL1, C20 CHL ,True,74
