Name,APL,Head,Thickness
chl1,40.0,O3,36.7
dapa,70.0,P,36.0
dapc,71.81,P,36.42
dape,64.0,P,38.0
dapg,73.0,P,36.0
daps,67.0,P,38.0
dlpa,58.0,P,31.0
dlpc,61.14,P,31.42
dlpe,53.0,P,33.0
dlpg,65.80,P,29.33
dlps,56.0,P,32.0
dmpa,57.0,P,35.0
dmpc,59.71,P,35.75
dmpe,52.0,P,38.0
dmpg,65.25,P,32.42
dmps,55.0,P,36.0
dopa,63.0,P,37.0
dopc,66.95,P,38.00
dope,59.0,P,40.0
dopg,71.08,P,35.58
dops,65.47,P,39.42
dppa,58.0,P,38.0
dppc,61.69,P,38.75
dppe,55.0,P,41.0
dppg,67.72,P,34.83
dpps,56.0,P,40.0
dspa,56.0,P,43.0
dspc,59.66,P,43.67
dspe,52.0,P,46.0
dspg,66.65,P,39.00
dsps,55.0,P,44.0
popa,63.90,P,37.50
popc,63.92,P,38.50
pope,55.92,P,41.50
popg,68.23,P,35.92
pops,61.78,P,40.17
sdpa,64.0,P,40.0
sdpc,65.10,P,40.33
sdpe,58.0,P,42.0
sdpg,67.0,P,38.0
sdps,62.0,P,41.0
