substituent,α-H-deltaPKa,β-H-deltaPKa,α-CH3-deltaPKa,β-CH3-deltaPKa,α-R-deltaPKa,β-R-deltaPKa

[#6]=[#6],,0.8,1.0,0.5,1.0,0.5
[#6]#[#6],,1.9,2.0,1.0,2.0,1.0
[#6]#[#7],5.8,3.2,,,,
[#6](=[#8])[#8-],0.8,-0.2,,,,
[#6](=[#8])-[#7],2.8,1.7,,,,
[#6]=[#8],,,,1.7,,1.6
[#6](=[#8])-[#8],,,,1.3,3.0,1.3
[#7]-[#6](=[#8]),,,,1.5,,1.6
[#7]-[#6](=[#8])-[#8],,,,,,2.0
[#7+](-[#8-])-[#8],,3.8,,,,
[#7+],,3.6,,4.2,,
[#7],,0.8,1.7,0.9,1.7,0.9
[#7]-[#6]=[#8],,1.7,,,,
[#7]-[#6](=[#8])-[#7],,1.4,,,,
[#8]-[#7+](-[#8-])-[#8],,3.6,,,,
[#8]-[#6],,,,1.2,,1.2
[#8],,1.1,,,
[#9],,1.9,,,,
[#14],,,,-0.4,,
[#16],,1.3,,1.6,3.5,1.4
[#16](=[#8])(=[#8])-[#8-],,1.0,,,,
[#16](=[#8])=[#8],,,,3.5,,
[#16]-[#6](=[#8])-[#7],,2.1,,,,
[#17],,2.1,,,,







